Posting Date,Transaction Date,Amount,Credit Debit Indicator,type,Type Group,Reference,Instructed Currency,Currency Exchange Rate,Instructed Amount,Description,Category,Check Serial Number,Card Ending
08/02/2024,08/02/2024,373.77,Debit,Transfer,Transfer,,,,,Transfer To Checking -3429,Transfers,,
07/31/2024,07/31/2024,0.04,Credit,Credit,Credit,,,,,Interest Income,Interest,,
07/23/2024,07/23/2024,29.00,Debit,Transfer,Transfer,,,,,Transfer To Checking,Transfers,,
07/23/2024,07/23/2024,14.15,Debit,Transfer,Transfer,,,,,Transfer To Credit Card -8939,Credit Card Payments,,
07/23/2024,07/23/2024,14.15,Debit,Debit,Debit,,,,,Transfer to Credit Card TRF TO SHARES,Transfers,,
07/23/2024,07/23/2024,29.00,Debit,Debit,Debit,,,,,Transfer to Checking SV TRF TO OTHER,Transfers,,
07/18/2024,07/18/2024,416.88,Credit,Credit,Credit,,,,,Transfer from Checking SAV TRF FR OTHER,Transfers,,
12/21/2023,12/21/2023,250.00,Debit,Transfer,Transfer,,,,,Transfer To Checking -3429,Transfers,,
12/20/2023,12/20/2023,250.00,Credit,Credit,Credit,,,,,Reward Redemption,Rewards,,
05/22/2023,05/22/2023,50.02,Debit,Transfer,Transfer,,,,,Transfer To Checking -3429,,,
